"","District","Date","SoilMoisture","Latitude","Longitude"
"1","Ariyalur",2018,20.88,11.1391,79.0798
"2","Ariyalur",2019,17.38,11.1391,79.0798
"3","Ariyalur",2020,22.68,11.1391,79.0798
"4","Ariyalur",2021,22.72,11.1391,79.0798
"5","Ariyalur",2022,22.56,11.1391,79.0798
"6","Ariyalur",2023,19.63,11.1391,79.0798
"7","Chengalpattu",2018,19.96,12.684,79.9838
"8","Chengalpattu",2019,13.38,12.684,79.9838
"9","Chengalpattu",2020,17.38,12.684,79.9838
"10","Chengalpattu",2021,10.6,12.684,79.9838
"11","Chengalpattu",2022,10.82,12.684,79.9838
"12","Chengalpattu",2023,7.9,12.684,79.9838
"13","Chennai",2018,14.98,13.0827,80.2707
"14","Chennai",2019,9.58,13.0827,80.2707
"15","Chennai",2020,9.74,13.0827,80.2707
"16","Chennai",2021,2.75,13.0827,80.2707
"17","Chennai",2022,2.94,13.0827,80.2707
"18","Chennai",2023,1.72,13.0827,80.2707
"19","Coimbatore",2018,23.82,11.0168,76.9558
"20","Coimbatore",2019,20.19,11.0168,76.9558
"21","Coimbatore",2020,23.01,11.0168,76.9558
"22","Coimbatore",2021,21.35,11.0168,76.9558
"23","Coimbatore",2022,20.78,11.0168,76.9558
"24","Coimbatore",2023,15.35,11.0168,76.9558
"25","Cuddalore",2018,22.21,11.7566,79.7714
"26","Cuddalore",2019,17.32,11.7566,79.7714
"27","Cuddalore",2020,23.48,11.7566,79.7714
"28","Cuddalore",2021,22.46,11.7566,79.7714
"29","Cuddalore",2022,22.91,11.7566,79.7714
"30","Cuddalore",2023,20.66,11.7566,79.7714
"31","Dharmapuri",2018,20.65,12.1264,78.157
"32","Dharmapuri",2019,18.62,12.1264,78.157
"33","Dharmapuri",2020,21.66,12.1264,78.157
"34","Dharmapuri",2021,19.38,12.1264,78.157
"35","Dharmapuri",2022,19.52,12.1264,78.157
"36","Dharmapuri",2023,15.58,12.1264,78.157
"37","Dindigul",2018,24.49,10.3673,77.9803
"38","Dindigul",2019,21.55,10.3673,77.9803
"39","Dindigul",2020,23.33,10.3673,77.9803
"40","Dindigul",2021,21.36,10.3673,77.9803
"41","Dindigul",2022,21.38,10.3673,77.9803
"42","Dindigul",2023,18.05,10.3673,77.9803
"43","Erode",2018,21.26,11.3692,77.6963
"44","Erode",2019,18.28,11.3692,77.6963
"45","Erode",2020,20.46,11.3692,77.6963
"46","Erode",2021,19.51,11.3692,77.6963
"47","Erode",2022,19.42,11.3692,77.6963
"48","Erode",2023,14.23,11.3692,77.6963
"49","Kallakurichi",2018,21.57,11.7365,78.9639
"50","Kallakurichi",2019,17.07,11.7365,78.9639
"51","Kallakurichi",2020,21.84,11.7365,78.9639
"52","Kallakurichi",2021,18.95,11.7365,78.9639
"53","Kallakurichi",2022,18.97,11.7365,78.9639
"54","Kallakurichi",2023,15.25,11.7365,78.9639
"55","Kanchipuram",2018,17.07,12.8352,79.7004
"56","Kanchipuram",2019,12.01,12.8352,79.7004
"57","Kanchipuram",2020,16.85,12.8352,79.7004
"58","Kanchipuram",2021,14.61,12.8352,79.7004
"59","Kanchipuram",2022,15.14,12.8352,79.7004
"60","Kanchipuram",2023,10.7,12.8352,79.7004
"61","Karur",2018,18.34,10.9606,78.0711
"62","Karur",2019,15.31,10.9606,78.0711
"63","Karur",2020,18.68,10.9606,78.0711
"64","Karur",2021,16.44,10.9606,78.0711
"65","Karur",2022,16.05,10.9606,78.0711
"66","Karur",2023,13.51,10.9606,78.0711
"67","Krishnagiri",2018,19.72,12.5186,78.2131
"68","Krishnagiri",2019,17.84,12.5186,78.2131
"69","Krishnagiri",2020,21.24,12.5186,78.2131
"70","Krishnagiri",2021,18.6,12.5186,78.2131
"71","Krishnagiri",2022,19.42,12.5186,78.2131
